FECHA,TICKET,SWAP_SPREAD
23/02/2023,6X1,-29.353899
23/02/2023,9X1,-27.807872
23/02/2023,13X1,-35.499999
23/02/2023,26X1,-40.783367
23/02/2023,39X1,-57.900433
23/02/2023,52X1,-42.769071
23/02/2023,65X1,-32.262588
23/02/2023,91X1,-12.835455
23/02/2023,130X1,-16.512169
23/02/2023,195X1,-9.3554291
23/02/2023,260X1,-13.164931
23/02/2023,390X1,-14.980562
22/02/2023,RR,NA
22/02/2023,TIIE,22.0399999
22/02/2023,3X1,-3.0042383
22/02/2023,6X1,-28.007456
22/02/2023,9X1,-24.461944
22/02/2023,13X1,-30.999999
22/02/2023,26X1,-33.802938
22/02/2023,39X1,-54.29192
22/02/2023,52X1,-39.956172
22/02/2023,65X1,-25.27511
22/02/2023,91X1,-12.139495
22/02/2023,130X1,-15.494323
22/02/2023,195X1,-5.2668043
22/02/2023,260X1,-7.7539411
22/02/2023,390X1,-11.635444
21/02/2023,RR,NA
21/02/2023,TIIE,26.4199999
21/02/2023,3X1,30.8330317
21/02/2023,6X1,27.6129012
21/02/2023,9X1,27.6871694
21/02/2023,13X1,6.49999999
21/02/2023,26X1,-27.199058
21/02/2023,39X1,-43.988242
21/02/2023,52X1,-32.401152
21/02/2023,65X1,-21.18195
21/02/2023,91X1,-8.2792799
21/02/2023,130X1,-7.6209163
21/02/2023,195X1,-0.7960192
21/02/2023,260X1,-0.9555906
21/02/2023,390X1,-5.5196977
20/02/2023,39X1,-41.551036
20/02/2023,52X1,-32.062047
20/02/2023,65X1,-21.712643
20/02/2023,91X1,-12.024316
20/02/2023,130X1,-16.973447
20/02/2023,195X1,-9.2255429
20/02/2023,260X1,-9.4734472
20/02/2023,390X1,-13.110941
20/02/2023,9X1,-23.385598
20/02/2023,13X1,-37.5
20/02/2023,26X1,-28.537052
20/02/2023,RR,NA
20/02/2023,TIIE,12.4499999
20/02/2023,3X1,-10.837025
20/02/2023,6X1,-22.618763
17/02/2023,RR,NA
17/02/2023,TIIE,15.4999999
17/02/2023,3X1,-6.8370254
17/02/2023,6X1,-18.618763
17/02/2023,9X1,-19.385598
17/02/2023,13X1,-33.5
17/02/2023,26X1,-27.886761
17/02/2023,39X1,-37.332652
17/02/2023,52X1,-25.825521
17/02/2023,65X1,-16.663406
17/02/2023,91X1,-3.2039089
17/02/2023,130X1,-8.1110999
17/02/2023,195X1,-1.3056246
17/02/2023,260X1,-5.697144
17/02/2023,390X1,-5.2360932
16/02/2023,RR,NA
16/02/2023,TIIE,24.0999999
16/02/2023,3X1,-6.4496767
16/02/2023,6X1,-16.19447
16/02/2023,9X1,-18.616106
16/02/2023,390X1,-5.8167842
16/02/2023,13X1,-29
16/02/2023,26X1,-29.798823
16/02/2023,39X1,-37.335893
16/02/2023,52X1,-28.561549
16/02/2023,65X1,-17.406232
16/02/2023,91X1,-3.9030447
16/02/2023,130X1,-6.1450186
16/02/2023,195X1,-0.182041
16/02/2023,260X1,-5.847507
15/02/2023,RR,NA
15/02/2023,TIIE,24.2999999
15/02/2023,3X1,-2.0042384
15/02/2023,6X1,-12.348164
15/02/2023,9X1,-15.65513
15/02/2023,13X1,-26.999999
15/02/2023,26X1,-31.998167
15/02/2023,39X1,-40.514546
15/02/2023,52X1,-30.691797
15/02/2023,65X1,-15.03241
15/02/2023,91X1,-3.7158212
15/02/2023,130X1,-4.7555973
15/02/2023,195X1,1.01409946
15/02/2023,260X1,-3.0338981
15/02/2023,390X1,-1.5042375
14/02/2023,RR,NA
14/02/2023,TIIE,18.7
14/02/2023,3X1,-6.0042383
14/02/2023,6X1,-12.001864
